"Fahri Hamzah: Dipo Alam, Otak Penangkapan Luthfi Hasan","menjelaskan keterkaitan Dipo Alam terlihat dari adanya staf khusus kepresidenan berinisial WAP yang pernah ditangkap bersama saksi kasus impor daging sapi, Yudi Setiawan. Yudi pada bulan Oktober 2012 ditangkap di sebuah apartemen Sudirman oleh tim gabungan Polda Metro Jaya dan Polda Kalsel (baca: ""Wisnu, Asisten Staf Khusus Presiden Negatif Narkoba""). Yudi saat itu ditangkap karena terkait dalam kasus pembobolan Bank Kalsel hingga miliaran rupiah. Selain keterkaitan itu, Fahri juga menuturkan fakta lain bahwa Yudi ternyata sering membawa-bawa nama Dipo Alam dan Sudi Silalahi setiap bertemu dengan Luthfi Hasan Ishaaq. Hal ini diketahui Fahri setelah menjenguh Luthfi Hasan dan Ahmad Fathanah di dalam sel penjara. ""Yudi sebetulnya, nama yang sering dibawa dia nama Sudi dan Dipo Alam. Setiap ketemu LHI, salam dari Sudi Silalahi. Dia sudah punya hubungan yang kuat dengan satu kelompok yang sedang bermasalah juga. Peran Dipo Alam besar sekali. Otak di balik kasus ini ya Dipo Alam,"" ujar Fahri di Kompleks Parlemen, Senin (1/7/2013).  ""Yudi ini adalah agen yang bertugas mengatur pertemuan bahwa ada transaksil riil antara Luthfi dan Yudi,"" ucap Fahri. Fahri pun mengaku memiliki bukti-bukti konkret yang akan disampaikannya secara berkala kepada publik. Fahri mengaku Komisi Pemberantasan Korupsi (KPK) sudah salah arah dengan tidak memperhatikan kebenaran materiil dan menutup-nutupi adanya hasil percakapan yang dianggap membuktikan Luthfi tidak pernah terlibat dalam kasus dugaan suap impor sapi. ""Sekarang ini kasus LHI (Luthfi Hasan Ishaaq) tidak nyambung, uangnya tidak sampai ke LHI. Ini adalah teror ijon yang dilakukan KPK untuk mengamankan semua lembaga negara yang ada. Kayaknya buat KPK, kebenaran materiil tidak perlu, bahkan kebenaran formil tidak perlu. Yang perlu kemenangan opini. Bahaya kalau begini,"" tukas Fahri. Seperti diberitakan, tim jaksa KPK mendakwa Luthfi melakukan tindak pidana korupsi dengan menerima hadiah atau janji Rp 1,3 miliar dari Direktur Utama PT Indoguna Utama Maria Elizabeth Liman terkait kepengurusan kuota impor daging sapi. Uang untuk Luthfi tersebut diterima orang dekatnya, Ahmad Fathanah, dari dua Direktur PT Indoguna, Juard Effendi dan Arya Abdi Effendi. Selain didakwa korupsi, Luthfi didakwa melakukan tindak pidana pencucian uang dengan beberapa perbuatan, baik menerima uang hasil tindak pidana korupsi maupun menyembunyikan uang yang patut diduga berasal dari tindak pidana korupsi.",Sabrina Asril,"01/07/2013, 20:21 WIB",2013,"JAKARTA,","https://nasional.kompas.com/read/xml/2013/07/01/2021355/Fahri.Hamzah.Dipo.Alam.Otak.Penangkapan.Luthfi.Hasan
",Kompas.com
Fahri Hamzah: KPK kayak Preman!,"Partai Keadilan Sejahtera memprotes langkah Komisi Pemberantasan Korupsi (KPK) yang menyegel dan berusaha menyita lima mobil di kantor DPP PKS, Jalan TB Simatupang, Jakarta Selatan. Politisi PKS Fahri Hamzah menuding langkah yang dilakukan KPK seperti preman karena tidak membawa surat tugas atau perintah penyitaan. ""Apa pun, tetap harus pakai prosedur, Anda tiba-tiba didatangi orang mau nyita mobil atau rumah Anda. Kita tanya Anda siapa? Dia bilang KPK? Buktinya mana? Kemarin enggak bawa surat jadi kayak preman,"" ujar Fahri saat dihubungi, Rabu (8/5/2013). Menurut Fahri, KPK telah menghalalkan segala cara. Menurutnya, negara berdemokrasi harus memiliki dasar hukum yang kuat ketika merampas hak orang lain. ""Orang KPK enggak ngerti undang-undang, maunya main tangkap! Siapa pun kalau semena-mena harus dilawan. KPK itu lembaga negara yang gajinya lima kali lipat. Jadi jangan semena-mena,"" ujar anggota DPR Komisi VII. Saat ditanya lebih lanjut tentang kepemilikan mobil-mobil yang disegel KPK, Fahri mengaku tidak tahu-menahu. Namun, menurutnya, bukan hal yang aneh jika para kader PKS memiliki mobil mewah. ""Di Jakarta ada pengusaha minyak, ada eksportir, dan macam-macam. Tentu mereka punya mobil mewah karena bisnis. Sekarang ini, jangan persoalkan ke PKS-nya, tapi KPK-nya. Kenapa datang tidak pakai surat. Ini abuse of power,"" ujar Fahri. Sebelumnya, penyidik KPK menyegel lima mobil di kantor DPP PKS sejak Senin (6/5/2013) hingga Selasa (7/5/2013) malam. Kelima mobil itu yakni VW Caravelle, Mazda CX9, Fortuner B 544, Mitsubishi Pajero Sport, dan Nissan Navara.  Awalnya, penyidik hendak menyita mobil-mobil itu, tetapi upaya itu akhirnya gagal. Penyidik hanya berhasil menyegel mobil yang diduga terkait dengan kasus dugaan tindak pidana pencucian uang terkait kasus impor daging sapi. Dalam kasus impor daging sapi ini, KPK telah menetapkan mantan Presiden PKS Luthfi Hasan Ishaaq sebagai tersangka. Rencananya, untuk mengangkut mobil-mobil itu KPK akan meminta bantuan polisi. KPK pun menegaskan bahwa penyidiknya kemarin sudah datang sesuai prosedur, yakni membawa surat tugas penyitaan. Ikuti berita terkait kasus ini dalam topik:Skandal Suap Impor Daging Sapi",Sabrina Asril,"08/05/2013, 12:58 WIB",2013,"JAKARTA,","https://nasional.kompas.com/read/2013/05/08/12583215/~Nasional
",Kompas.com
Fahri Hamzah: Mau Bekukan PKS? Demokrat Dulu!,"Wakil Sekretaris Jenderal Partai Keadilan Sejahtera (PKS) Fahri Hamzah menilai wacana pembekuan partainya hanyalah sebuah provokasi yang ditujukan untuk melemahkan PKS. Fahri bahkan menuding Partai Demokrat lebih layak untuk dibekukan daripada partainya. ""Kalau mau membekukan PKS, bekukan dulu Partai Demokrat karena sudah jelas-jelas ada kesaksian ada dana Grup Permai yang mengalir ke kongres Partai Demokrat,"" ujar Fahri di kantor DPP PKS, Jalan TB Simatupang, Jakarta, Sabtu (11/5/2013). Sebelumnya, wacana pembekuan PKS dilontarkan peneliti Indonesia Corruption Watch (ICW) Tama S Langkun yang menilai PKS bisa saja masuk dalam kategori korupsi korporasi. Hal ini jika PKS terbukti menerima aliran dana hasil pencucian uang dalam kasus suap impor daging sapi yang melibatkan mantan Presiden PKS Luthfi Hasan Ishaaq. Di dalam Undang-undang nomor 8 tahun 2010 tentang Tindak Pidana Pencucian Uang (TPPU) disebutkan dalam pasal 7 bahwa tindak pidana pencucian yang dilakukan korporasi maka sanksi yang dijatuhkan yakni berupa denda Rp 100 miliar, pidana denda, pembekuan sebagian atau seluruh kegiatan usaha, pencabutan izin, pembubaran, perampasan aset, dan pengambilalihan korporasi oleh negara. Menurut Fahri, wacana ini sengaja dilontarkan untuk melemahkan perlawanan PKS terhadap kesewenang-wenangan KPK. Ia pun kembali meminta agar wacana pembubaran PKS tidak dialamatkan ke partainya. ""Jangan ngomong soal PKS dulu karena pak Luthfi Hasan Ishaaq baru jadi tersangka itu kan belum tentu terkait juga,"" imbuh anggota Komisi VII DPR ini. Fahri memastikan seluruh keuangan yang terkait partainya sama sekali tidak terkait dengan perkara yang kini membelit Luthfi Hasan dan orang dekatnya, Ahmad Fathanah. ""Itu urusan mereka, tidak ada kaitannya sama partai kami,"" tukas Fahri.",Sabrina Asril,"11/05/2013, 21:37 WIB",2013,"JAKARTA,","https://lifestyle.kompas.com/read/2013/05/11/21374343/~Nasional
",Kompas.com
"Didukung, Tudingan Fahri Hamzah ke Dipo Alam","menegaskan, Fahri tak mungkin gegabah mengeluarkan pernyataan kontroversial bila tak memiliki dasar pendukungnya. Ia yakin rekan separtainya itu memiliki informasi akurat tentang apa yang disampaikannya. ""Iya, mungkin personal dari Fahri. Ya, mungkin dia mendapat informasi dari sejumlah sumber. Karenanya kan kalau Fahri menyampaikan seperti itu tidak berdasarkan sumber, ya romannya tidak mungkin,"" kata Nasir, di Kompleks Parlemen, Jakarta, Jumat (5/7/2013). Pada Senin lalu, Wasekjen PKS Fahri Hamzah menyatakan, penangkapan mantan Presiden PKS Luthfi Hasan Ishaaq dalam kasus dugaan korupsi impor daging sapi adalah sebuah skenario besar yang dilakukan oleh pihak Istana. Fahri menuding Sekretaris Kabinet Dipo Alam dan Menteri Sekretaris Negara Sudi Silalahi berada di belakang penangkapan ini. Fahri menjelaskan, keterkaitan Dipo Alam terlihat dari adanya staf khusus kepresidenan berinisial WAP yang pernah ditangkap bersama saksi kasus impor daging sapi, Yudi Setiawan. Fahri menuturkan, Yudi sering membawa nama Dipo Alam dan Sudi Silalahi setiap bertemu dengan Luthfi Hasan Ishaaq. Menanggapi hal itu, Sudi Silalahi marah atas tuduhan Fahri. Sudi merasa difitnah dan menuntut Fahri segera meminta maaf.",Indra Akuntono,"05/07/2013, 17:22 WIB",2013,"JAKARTA,","https://nasional.kompas.com/read/xml/2013/07/05/1722082/Didukung.Tudingan.Fahri.Hamzah.ke.Dipo.Alam
",Kompas.com
Fahri Hamzah Inginkan PKS Keluar dari Koalisi,"Wakil Sekretaris Jenderal Partai Keadilan Sejahtera Fahri Hamzah menginginkan agar partainya segera keluar dari koalisi partai pendukung pemerintah. Pasalnya, selama ini, Fahri mengaku tak mendukung gaya kepemimpinan Presiden Susilo Bambang Yudhoyono. ""Saya ingin sekali partai ini keluar dari koalisi. Saya termasuk yang memprotes cara kepemimpinan SBY,"" ujar Fahri di Kompleks Parlemen, Rabu (22/5/2013).  Anggota Komisi VII yang kini dipindah ke Komisi III itu mengaku keinginannya itu hanyalah pendapat pribadi dan berbeda dengan keputusan Majelis Syuro PKS. Saat ditanyakan alasannya meminta PKS keluar dari koalisi, Fahri tak menjelaskan lebih lanjut.  Ia justru menyinggung tentang perkara hukum yang menyeret mantan Presiden PKS Luthfi Hasan Ishaaq. Menurut dia, kasus yang menimpa Luthfi merupakan kasus yang paling berdampak bagi partainya karena langsung mengenai jantung kekuasaan partai ini. Ia pun berharap agar masyarakat bisa menilai secara obyektif dan membedakan urusan personal dan partai.  Wacana keluarnya PKS dari koalisi ini bukanlah baru terungkap ke publik. Saat Luthfi Hasan ditetapkan sebagai tersangka kasus suap impor daging sapi, Presiden PKS yang baru saja terpilih, Anis Matta, menyinggung keinginan kadernya untuk keluar dari koalisi dalam pidato perdananya.  Ia tidak menampik bahwa aspirasi dari kader PKS itu muncul setelah Luthfi Hasan Ishaaq ditetapkan sebagai tersangka dalam kasus dugaan suap impor daging sapi. ""Suara itu kencang berembus setelah peristiwa ini. Keputusannya akan dilakukan dalam waktu yang akan datang,"" kata Anis.    Namun, wacana ini  dibantah oleh Wakil Sekretaris Jenderal PKS Mahfudz Siddiq. Mahfudz mengatakan, dalam rapat Majelis Syuro PKS sama sekali tidak dibahas soal nasib PKS dalam koalisi. ""Tidak pembahasan soal koalisi dalam Majelis Syuro terakhir,"" katanya.",Sabrina Asril,"22/05/2013, 14:19 WIB",2013,"JAKARTA,","https://nasional.kompas.com/read/2013/05/22/1419148/~Nasional
",Kompas.com
Fahri Hamzah Tak Gubris Somasi Presiden SBY,"menjelaskan, dalam kop surat tersebut tertulis kata-kata ""Presiden RI"" yang memosisikan SBY sebagai presiden dan bukan sebagai warga negara biasa. Padahal Fahri merasa tak pernah memiliki masalah apa pun dengan Presiden SBY. ""Tolong digarisbawahi, ada tulisan 'presiden' di kop suratnya. Berarti dia menggunakan wibawa publik, ini karena lembaga hukumnya amatir,"" kata Fahri kepada para wartawan di Gedung Parlemen, Jakarta, Selasa (28/1/2014). Politisi Partai Keadilan Sejahtera (PKS) itu melanjutkan, dalam surat yang dikirim oleh tim advokat Presiden SBY juga hanya tertera undangan untuk mengklarifikasi pernyataan Fahri bahwa KPK harus memanggil Edhie Baskoro Yudhoyono alias Ibas terkait keterlibatannya dalam skandal Hambalang. Fahri menjelaskan, pernyataannya tentang Ibas merupakan analisis hukum untuk memacu kinerja KPK, dan dirinya merasa berhak menyampaikannya karena duduk sebagai anggota komisi hukum di DPR. ""Ini bukan somasi, tapi undangan klarifikasi. Dalam hukum enggak dikenal terminologi mengundang ini. Jadi enggak ada kewajiban saya untuk tunduk, patuh, dan sebagainya,"" ujar Fahri. Selanjutnya, Fahri mengkritik tim advokat Presiden SBY karena tak memahami hak imunitas yang dimiliki oleh tiap anggota DPR. Terlebih sebagai anggota Komisi III DPR, dirinya merasa memiliki fungsi pengawasan atas KPK sebagai mitra kerja. ""Pernyataan saya di media untuk KPK agar bertindak imparsial dalam penegakan hukum karena ini merupakan spirit yang menjadi tolak ukur keadilan. Jadi bukan hanya soal Ibas,"" pungkasnya. Sebagai informasi, tim advokat Presiden SBY dan keluarga mengirim surat untuk Fahri pada 17 Januari 2014. Dalam surat tersebut, Fahri diminta hadir pada 27 Januari 2014 untuk menyampaikan klarifikasinya karena mengatakan Ibas tak juga dipanggil KPK padahal telah disebut menerima uang dari proyek Hambalang. Tim advokat Presiden SBY dan keluarga menilai Fahri telah menyebarkan informasi yang tidak benar, melukai, dan menyerang kehormatan Ibas. Namun, sampai batas waktu yang ditentukan, Fahri tak memenuhi undangan tersebut.",Indra Akuntono,"28/01/2014, 17:02 WIB",2014,"JAKARTA,","https://nasional.kompas.com/read/xml/2014/01/28/1702274/Fahri.Hamzah.Tak.Gubris.Somasi.Presiden.SBY
",Kompas.com
Fahri Hamzah: Anas Minta Keterangannya Tak Dipublikasikan,"Tim kecil dari Tim Pengawas Skandal Bank Century mengatakan telah mendengar pernyataan Anas Urbaningrum mengenai kasus Bank Century. Namun, Anas minta sebagian pernyataannya tidak diungkap ke publik. ""Dari 2,5 jam tadi, banyak yang kita obrolkan, juga banyak memori masa sidang pansus yang kita ungkap bersama beliau. Tapi, kami tentu juga perlu waktu untuk mencerna sebagian yang didiskusikan sehingga tidak bisa diungkap ke publik,"" ujar Fahri Hamzah, yang merupakan anggota tim kecil, yang mendatangi kediaman Anas di Kompleks TNI AL, Jalan Teluk Semangka, Duren Sawit, Jakarta Timur, Senin (4/3/2013). Selain itu, kata Fahri, Anas telah menyatakan kesiapannya untuk dipanggil oleh timwas. Namun, untuk saat ini, Anas masih ingin berkonsentrasi menghadapi tekanan yang tengah dialaminya. ""Karena beliau menghadapi langsung perkembangan yang ada, beliau juga minta kita untuk fokus agar kasus ini bisa tuntas sebelum pergantian anggota DPR,"" jelas Fahri lagi. Berita terkait, baca: SKANDAL BANK CENTURY",Lariza Oky Adisty,"04/03/2013, 14:05 WIB",2013,"JAKARTA,","https://otomotif.kompas.com/read/2013/03/04/14054815/~Nasional
",Kompas.com
Apa Alasan Rotasi Fahri Hamzah dan Nasir Djamil ke Komisi III?,"Dua anggota DPR asal Fraksi Partai Keadilan Sejahtera (PKS) Fahri Hamzah dan Nasir Djamil dirotasi ke Komisi III. Keduanya dikenal sebagai politisi yang vokal dalam mengkritik Komisi Pemberantasan Korupsi (KPK). Apa alasan Fraksi PKS melakukan rotasi? Sekretaris Fraksi PKS Abdul Hakim menjelaskan bahwa kedua anggotanya itu  ditempatkan di Komisi III DPR karena ada pembahasan sejumlah isu  krusial di Komisi III, seperti RUU Kejaksaan, RUU KUHAP, dan RUU KUHP. ""Paling mendasar memang itu, kami membutuhkan teman-teman yang memahami  di sana. Tentang penegakan hukum,"" ujar Hakim di  Kompleks Parlemen, Rabu (22/5/2013). Hakim berharap, dengan ditempatkannya Fahri dan Nasir, tidak ada lagi tebang pilih kasus secara keseluruhan yang dilakukan aparat  penegak hukum. Dengan masuknya Nasir Jamil dan Fahri Hamzah, berarti ada  enam anggota Fraksi PKS di Komisi III. Empat orang lainnya adalah Al-Muzzamil Yusuf, Bukhori Yusuf, Adang  Daradjatun, dan Aboebakar Al-Habsy. Sementara anggota Fraksi PKS Indra dipindah dari Komisi III ke Komisi IX. Adapun Fahri dan Nasir sebenarnya bukan orang baru di Komisi III  yang bermitra kerja dengan Polri, kejaksaan, dan Komisi Pemberantasan  Korupsi (KPK) itu. Keduanya sempat menduduki posisi Wakil Ketua Komisi  III.",Sabrina Asril,"22/05/2013, 13:31 WIB",2013,"JAKARTA,","https://edukasi.kompas.com/read/2013/05/22/13313175/~Nasional
",Kompas.com
"Rapat, Fahri Hamzah Ceramahi Pimpinan KPK","itu seharusnya jangan bangga sudah tangkap Akil. Saya sedih. Sekarang KPK disuruh usut Boediono, ngaku tidak takut apa-apa. Ini KPK lama-lama seperti pantat ayam digosok, begitu digosok, gagah lagi,"" ujar Fahri. Pernyataan Fahri ini pun langsung disambut tawa seisi Komisi III DPR. Fahri melanjutkan bahwa dia melihat KPK sudah bekerja di luar jalur. Bahkan, sebutnya, pejabat KPK seolah memberikan batas dalam menjalin hubungan antarlembaga. Fahri mengaku tak pernah melihat kakunya hubungan KPK dengan lembaga negara pada periode kepemimpinan KPK sebelumnya. Fahri juga mengkritik cara kerja KPK yang dinilai tak terlalu berhasil melakukan pemberantasan korupsi. Ia melihat, dalam jangka waktu 10 tahun, penindakan korupsi justru meningkat, bukannya menurun. ""KPK memang bisa bangga gagah, nggak takut pada siapa pun, tapi negara rusak,"" tukas Fahri. ""Maaf, saya jadi ceramah. Saya ini memang suka ceramah, tapi pingin di KPK, selalu ditolak. Padahal, dari dulu itu saya kepingin bisa ngomong sama KPK,"" tambah Wakil Sekretaris Jenderal PKS ini.",Sabrina Asril,"02/12/2013, 18:17 WIB",2013,"JAKARTA,","https://nasional.kompas.com/read/xml/2013/12/02/1817327/Rapat.Fahri.Hamzah.Ceramahi.Pimpinan.KPK
",Kompas.com
Fahri: Saya Pindah kalau KPK Beres,"Politisi Partai Keadilan Sejahtera (PKS) Fahri Hamzah membantah kabar kalau dirinya akan keluar dari Komisi III ke Komisi XI DPR. Anggota Komisi III DPR itu mengaku sejauh ini tidak memberikan pernyataan apa pun mengenai wacana kepindahan tersebut. ""Itu (kepindahan) kan bukan keputusan saya. Kabar dari siapa itu? Tidaklah. Tapi kalau kalian (wartawan) mau saya pindah, ya saya pindah. Kalau tidak, ya saya tidak akan pindah,"" ujar Fahri kepada wartawan di Gedung Mahkamah Konstitusi, Jakarta, Rabu (19/10/2011). Sebelumnya, Sekretaris Fraksi PKS Abdul Hakim, ketika dihubungi wartawan, Senin (17/10/2011), mengatakan, Fahri Hamzah telah mengajukan diri ke Fraksi PKS untuk keluar dari Komisi III Dewan Perwakilan Rakyat. Fahri meminta dipindahkan ke Komisi XI yang membidangi masalah keuangan, perencanaan pembangunan nasional, perbankan, dan lembaga keuangan bukan bank. Fahri mengatakan, saat ini dirinya masih menyelesaikan banyak pekerjaan yang belum terselesaikan di Komisi III. Menurut Fachri, dirinya kini bersama anggota Komisi III lainnya sedang fokus untuk menyelesaikan beberapa masalah, di antaranya mengenai revisi Undang-Undang Komisi Pemberantasan Korupsi. ""Jadi, kalau KPK belum beres, kayaknya belum pindahlah. Kita tunggu KPK dulu sampai beres,"" kata Fachri. Seperti diberitakan, Fahri saat ini tengah disorot publik terkait sikapnya yang terus mengkritik KPK. Terakhir, saat rapat koordinasi antara DPR dan pimpinan KPK, Fahri menilai KPK layak dibubarkan. Fahri telah ditunjuk sebagai ketua panitia kerja untuk merevisi Undang-Undang Nomor 30 Tahun 2002 tentang KPK.",Ary Wibowo,"19/10/2011, 17:25 WIB",2011,"JAKARTA,","https://nasional.kompas.com/read/2011/10/19/17254422/~Nasional
",Kompas.com
