Fahri Hamzah: Abraham Samad Enggak Ngerti Apa-Apa,"Anggota Komisi III DPR RI, Fahri Hamzah menantang segenap pimpinan Komisi Pemberantasan Korupsi (KPK) untuk berdebat terkait dengan penanganan serta konsep pemberantasan korupsi yang benar. Sebab, Fahri menilai model pemberantasan korupsi di Indonesia saat ini dipenuhi dengan drama sehingga memancing perhatian banyak pihak, meskipun terkadang para pejabat yang diperiksa KPK belum tentu bersalah. Bahkan, tidak sungkan politikus Partai Keadilan Sejahtera (PKS) ini menyindir kemampuan Ketua KPK Abraham Samad dan Wakil Ketua KPK Bambang Widjojanto dalam berdebat adu konsep terkait pemberantasan korupsi. ""Korupsi di Indonesia ini diternak, didramatisir bukan diberantas. Samad (Abraham) dan kawan-kawan ini enggak ngerti apa-apa, sekolahnya enggak benar, enggak berani berdebat. Mana itu Bambang Widjojanto,"" tantang Fahri dalam sebuah diskusi di LBH Jakarta, Rabu (5/3/2014). Tak cukup sampai di situ, Fahri juga menyindir manajemen yang ada di KPK, di mana posisi juru bicara selama bertahun-tahun dijabat oleh Johan Budi. Menurutnya, selama ini Johan Budi tidak bertugas sebagai juru bicara yang baik, dan pernyataannya di media terkesan politis. ""Mana ada lembaga profesional juru bicaranya dari ujung ke ujung enggak pernah ganti. Ini yang diomongkan akrobat-akrobat, karena dia sendiri wartawan, dan dia enggak mau diganti. Lembaga profesional apa seperti ini? Makanya saya pengen debat,"" ujarnya. Fahri mengaku tidak takut dimusuhi banyak pihak lantaran sering mengkritisi KPK. Sebab, menurutnya, kritik yang ia layangkan bertujuan untuk memperbaiki penegakan hukum dan pemberantasan korupsi itu sendiri. ""Dalam Undang-undang, sebenarnya penegak hukum kan Polri dan Kejaksaan. KPK ada agar penegak hukum itu bersih, bekerja baik. Jangan seluruh kasus korupsi disorotkan di Kuningan (Kantor KPK),"" tegas Fahri.",Tegar Arief Fadly,Rabu 05 Maret 2014 17:21 WIB,2014,JAKARTA,"https://news.okezone.com/read/2014/03/05/339/950464/fahri-hamzah-abraham-samad-enggak-ngerti-apa-apa
",Okezone.com
Fahri Hamzah: Bubarkan saja KPK,"Rapat konsultasi antara DPR dengan Komisi Pemberantasan Korupsi (KPK) berlangsung tegang. Pimpinan Komisi Hukum DPR langsung mencecar pimpinan KPK soal pemeriksaan pimpinan Badan Anggaran (Banggar) DPR. Wakil Ketua Komisi Hukum DPR, Fahri Hamzah bahkan menyuarakan pembubaran KPK dalam rapat konsultasi yang dihadiri Jaksa Agung Basrief Arief dan Kapolri Jenderal (Pol) Timur Pradopo. Menurutnya, pola penanganan hukum yang dilakukan KPK terbilang kebablasan. ""Lebih baik KPK dibubarkan, karena saya tidak percaya institusi superbody dalam demokrasi. Tidak boleh ada institusi superbody dalam demokrasi,"" kata Fahri lantang di ruang rapat pimpinan di Gedung DPR, Jakarta, Senin (3/10/2011). Menurut Fahri, KPK sebagai lembaga superbodi terkesan menutup diri dari pengawasan pihak luar termasuk DPR. ""Apa yang diusulkan (pembubaran KPK) kita perlukan diskusi lebih lanjut,"" sambungnya. Dia menjelaskan usulan pembubaran KPK layak diperhitungkan sebab sejumlah pimpinan KPK kerap terlilit dugaan perkara korupsi. ""Saya berkali-kali menyatakan kasus yang menimpa KPK dan pimpinannya akan terus menjadi momok pemberantasan hukum secara nasional. ""Kita akan revisi Undang-Undang KPK yang menjadi paket,"" tandasnya.",Ray Jordan,Senin 03 Oktober 2011 18:24 WIB,2011,JAKARTA ,"https://news.okezone.com/read/2011/10/03/339/510247/fahri-hamzah-bubarkan-saja-kpk
",Okezone.com
Fahri Hamzah: Andai Saya Pimpinan KPK,"Anggota Komisi III DPR Fahri Hamzah mengaku kecewa dengan kinerja Komisi Pemberantasan Korupsi (KPK) yang dianggapnya hanya garang terhadap pelaku kejahatan lapis bawah namun tumpul menjerat koruptor kelas kakap. Dia berandai-andai jika dirinya menjadi pimpinan KPK. Politikus Partai Keadilan Sejahtera (PKS) ini sesumbar akan menangkap siapa pun yang terlibat, meski dia adalah pejabat aktif. ""Kalau saya pimpin KPK tidak akan ada orang yang saya tangkap. Kalau saya (akan) tangkap menteri dan presidennya. Dengan begitu korupsi hilang, ini pimpro saja yang dicari, yang besar-besar tidak ditangkap,"" katanya pada Rapimnas PKS, di Hotel Sahid, Jakarta, Jumat (14/10/2011). Menurut dia, pemberantasan korupsi adalah persoalan gampang. KPK hanya perlu menangkap si penanggung jawab dari akar persoalan korupsi, maka koruptor kecil-kecil akan bisa dilumpuhkan. ""Korupsi itu soal gampang. Suruh saya urus, bisa saya selesaikan itu. Saya tangkap menteri dan presidennya, ulangnya.",Taufik Hidayat,Jum'at 14 Oktober 2011 17:37 WIB,2011,JAKARTA ,"https://news.okezone.com/read/2011/10/14/339/515409/fahri-hamzah-andai-saya-pimpinan-kpk
",Okezone.com
ICW: Fahri Hamzah Pro Koruptor atau KPK?,"Indonesia Corruption Watch (ICW) menyayangkan lontaran Wakil Ketua Komisi Hukum DPR Fahri Hamzah dalam rapat dengar pendapat dengan KPK, Kejagung, dan Kepolisian, kemarin. Usul pembubaran KPK dengan dalih lembaga tersebut bersifat superbody dinilai tidak tepat. Fahri Hamzah itu pro koruptor atau KPK, tanya anggota Badan Pekerja ICW Emerson Juntho kepada okezone di Jakarta, Selasa (4/10/2011). Menurut Emerson, lontaran semacam itu sangat tidak pantas diucapkan, apalagi oleh wakil rakyat yang membidangi persoalan hukum. Kalau KPK memang harus dikritisi ya dikasih catatan, tidak perlu pembubaran, orang kayak gini gak pantas jadi anggota DPR, imbuhnya. Dalam rapat dengar pendapat dengan pimpinan KPK, Kapolri, dan Jaksa Agung, kemarin, Fahri Hamzah sempat melontarkan usulan agar KPK dibubarkan. ""Lebih baik KPK dibubarkan, karena saya tidak percaya institusi superbody dalam demokrasi. Tidak boleh ada institusi superbody dalam demokrasi,"" kata Fahri. Menurut dia, KPK sebagai lembaga superbody terkesan menutup diri dari pengawasan pihak luar termasuk DPR. ""Apa yang diusulkan (pembubaran KPK) kita perlukan diskusi lebih lanjut,"" sambungnya. Dia menjelaskan usulan pembubaran KPK layak diperhitungkan sebab sejumlah pimpinan KPK kerap terlilit dugaan perkara korupsi. ""Saya berkali-kali menyatakan kasus yang menimpa KPK dan pimpinannya akan terus menjadi momok pemberantasan hukum secara nasional. ""Kami akan revisi Undang-Undang KPK yang menjadi paket,"" tandasnya.",Muhammad Saifullah ,Selasa 04 Oktober 2011 07:00 WIB,2011,JAKARTA,"https://news.okezone.com/read/2011/10/04/339/510363/icw-fahri-hamzah-pro-koruptor-atau-kpk
",Okezone.com
Fahri Hamzah: Mereka Kekanak-Kanakan ,"Wakil Ketua Komisi III Fahri Hamzah menanggapi santai kritikan balik dari sejumlah pihak atas komentar pedasnya soal Komisi Pemberantasan Korupsi (KPK) di jejaring sosial Twitter. ""Saya heran, saya kaget kalau sudah mengkritik itu (KPK) tidak antikorupsi,"" katanya kepada okezone, Senin (30/8/2010). Menurut politisi PKS ini, dalam era demokrasi kritik itu sangat diperlukan untuk memperbaiki sistem. Dia melontarkan wacana justru dalam tahapan menuju demokratisasi. ""Teman-teman di ICW tak mengerti persoalan, mereka hanya banyak advokasi tapi kurang riset. Risetnya googling saja,"" jelas Fahri. Dia juga menjawab tudingan ICW yang menyebutkan jika kritik pedasnya diduga terkait pemeriksaan dirinya dalam kasus dana nonbujeter Kementerian Kelautan dan Perikanan (KKP). ""Apakah hanya gara-gara diperiksa KPK selamanya berdosa. Mereka (ICW) kekanak-kanakan dalam menyikapinya. Saya pikir wacana yang dilontarkan akan ditanggapi dalam, tapi justru menyerang pribadi,"" jawabnya. Mengenai tudingan KPK jangan seperti jagoan, Fahri mengemukakan pembelaannya. ""Dikasih kewenangan kok malah ribut dengan polisi dan jaksa, bukannya kerja sama. KPK berantem dengan polisi dan kejaksaan apakah rakyat senang? Rugi kita dong,"" tandasnya. Sebelumnya, melalui situs jejaring sosial, Twitter, Fahri habis-habisan mengkritisi sepak terjang Komisi Pemberantasan Korupsi (KPK) selama ini yang dinilainya kayak jagoan. Polemik yang memicu perdebatan ini adalah status yang ditulis Fahri diakunnya yakni, ""Tapi kalau dari awal didorong untuk memusuhi bangsanya sendiri lalu terima bantuan asing untuk mensucikan indonesia...go to hell kpk!!"". Komentar pedas ini diposting tanggal 28 Agustus lalu. Politisi KPK ini juga menyindir KPK agar tidak sok jagoan. ""Kalian digaji besar...gaji satpam KPK sama dengan gaji kombes atau malah pati...jangan sok jago...kalian juga anak bangsa kalian sendiri!""",Dadan Muhammad Ramdan,Senin 30 Agustus 2010 08:39 WIB,2010,JAKARTA,"https://news.okezone.com/read/2010/08/30/339/367926/fahri-hamzah-mereka-kekanak-kanakan
",Okezone.com
"""Fahri Hamzah Bukan Pembual""","Ketua Dewan Perwakilan Wilayah (DPW) PKS wilayah Jakarta, Slamat Nurdin, yakin tudingan Fahri Hamzah terhadap Dipo Alam dan Sudi Silalahi bukan isapan jempol belaka. Dia yakin koleganya semasa kuliah itu tidak mungkin berbicara tanpa ada alasan. ""Pak Fahri kan kawan saya sewaktu kuliah dulu. Jadi saya tahulah kredibilitas dia. Dia kalau berbicara ada sesuatu, tapi sesuatunya itu, tanyakan beliau (Fahri), karena beliau yang tahu,"" kata Fahri kepada Okezone usai melepas Karnaval Ramadhan PKS di Jalan Thamrin, Jakarta Pusat, Minggu (7/7/2013). Menurutnya, Fahri yang dia kenal bukanlah seorang 'pembual'. Kendati demikian, dia mengakui jika memang ada sesuatu yang disimpan oleh Fahri terkait tudingannya kepada Dipo Alam dan Rudi Silalahi. ""Memang ada sesuatu. Nah sesuatunya itu silahkan digulirkan deh. Tapi kalau saya melihat track record-nya, dia bukan pembual. Saya tahu kita kuliah bareng, kecilnya tahu, gedenya juga tahu dia orangnya seperti apa,"" tuturnya. Seperti diketahui, Fahri Hamzah menuding Sudi Silalahi dan Dipo Alam punya peran besar di balik kasus impor sapi di Kementerian Pertanian. Fahri menyatakan saksi Yudi Setiawan sebetulnya sering dikutip Sudi dan Dipo Alam setiap bertemu dengan mantan Presiden PKS, Luthfi Hasan Ishaaq.",Aisyah,Minggu 07 Juli 2013 09:54 WIB,2013,JAKARTA,"https://news.okezone.com/read/2013/07/07/339/833122/fahri-hamzah-bukan-pembual
",Okezone.com
Fahri Hamzah terdepak dari Komisi III,"Siapa yang tidak kenal Wakil Ketua Komisi III DPR dari Fraksi Partai Keadilan Sejahtera (F-PKS), Fahri Hamzah. Pernyataannya yang kontroversi menyangkut isu pembubaran Komisi Pemberantasan Korupsi (KPK) membuatnya menjadi perhatian publik. Usai kontroversi itu, kini Fahri digeser fraksinya dari Komisi III ke Komisi XI. Ada apa? Fraksi PKS membantah pergeseran posisi politikus terkait kontroversi Fahri, terkait usulan pembubaran KPK. ""Pak Fahri mengajukan diri ingin mendalami Komisi XI,"" ujar Sekretaris F-PKS Abdul Hakim seperti dikutip dari Okezone, Senin (17/10/2011). Meski pergeseran Fahri ini bertepatan dengan berakhirnya Rapat Pimpinan Nasional (Rapimnas) Dewan Pimpinan Pusat (DPP) PKS, Hakim secara diplomatis mengatakan Fahri ditugaskan di Komisi XI DPR untuk mengoptimalkan kinerja F-PKS dalam menjalankan fungsi pengawasan bidang ekonomi dan keuangan. Apalagi Fahri memiliki latar belakang sebagai lulusan akuntasi. ""Background beliau kan ilmu ekonomi. Jadi biar lebih optimal. Itu juga buat penyegaran,"" tukasnya. Lebih jauh, posisi yang ditinggalkan Fahri akan diisi olehnya, yang sebelumnya bertugas Komisi V DPR bidang infrastruktur. Tetapi ditegaskan Hakim, pergeseran ini masih menunggu persetujuan dari DPP. ""Ini sedang diajukan ke partai, tapi belum ada jawaban. Nanti diteruskan ke Setjen, mungkin masa sidang depan baru,"" ucapnya. Secara terpisah, politikus PKS lainnya, Yudi Widiana Adia mengungkapkan bantahan yang sama. Pergeseran Fahri tidak terkait dengan pernyataannya mengenai pembubaran KPK. Bahkan dia juga membantah pergeseran tersebut bagian dari jeweran kepada Fahri dari partai. Tidak ada kaitannya dengan pernyataan pembubaran KPK, itu sudah diputuskan dua pekan lalu, tandasnya kepada Okezone. Dalam rapat konsultasi antara pimpinan DPR, pimpinan Komisi III DPR, pimpinan bersama Kejaksaan Agung, KPK, dan Polri, 3 Oktober 2011, Fahri mengeluarkan kritik yang sangat keras terhadap lembaga pemberantasan korupsi tersebut. Kritik tersebut terkait dengan persoalan pemanggilan pimpinan Badan Anggaran (Banggar) DPR oleh KPK terkait dugaan kasus korupsi di Kementerian Tenaga Kerja dan Transmigrasi (Kemankertrans). ""Lebih baik KPK dibubarkan, karena saya tidak percaya institusi superbody dalam demokrasi. Tidak boleh ada institusi superbody dalam demokrasi,"" cetusnya. Kritikan Fahri ini pun kemudian ditanggapi enteng oleh Ketua KPK, Busyro Muqoddas. Busyro mempersilakan jika memang dia melalui F-PKS akan mengajukan terhadap pembubaran KPK. Pihaknya tidak akan merasa terganggu dengan pernyataan tersebut, dan akan tetap bekerja secara independen sesuai dengan perundang-undangan yang ada. ""Kalau mau dibubarkan ditempuh saja lewat Fraksi PKS,"" jelasnya.",Misbahol Munir (okezone),Senin 17 Oktober 2011 14:35 WIB,2011,Sindonews.com,"https://news.okezone.com/read/2011/10/17/435/516369/fahri-hamzah-terdepak-dari-komisi-iii
",Okezone.com
Fahri Hamzah: Kantor Setgab dan Konvensi Karang-Karangan SBY,"Kantor Sekretariat Gabungan (Setgab) di Jalan Diponogoro No. 43, Jakarta Pusat, beralih fungsi menjadi markas pemenangan Pramono Edhie Wibowo yang merupakan peserta Konvensi Calon Presiden dari Partai Demokrat. Wakil Sekretaris Jenderal (Wasekjen) DPP PKS Fahri Hamzah, menilai dua lembaga itu hanya karangan Presiden Susilo Bambang Yudhoyono (SBY) yang juga Ketua Umum Partai Demokrat. ""Kantor Setgab diadakan oleh SBY, konvensi juga SBY. Ya sudah lah, kantong kiri, kantong kanan aja itu. Lagian Setgab juga karang-karangannya SBY,"" kata Fahri lewat pesannya kepada wartawan, Jumat (27/9/2013). Setgab, kata Fahri, juga dirasa kurang terlihat kinerjanya. Bahkan, Fahri menyebut, Setgab hanyalah mainan partai penguasa yaitu Partai Demokrat. ""Sejak awal Setgab memang bukan koalisi. Kami ini tidur di ranjang yang sama tapi mimpinya beda-beda,"" katanya. Seperti diketahui, kantor Sekretariat Gabungan (Setgab) partai koalisi di Jalan Diponegoro No 43, Jakarta Pusat, kini telah berubah fungsi. Kantor tersebut, kini dijadikan sebagai markas pemenangan dan media center peserta konvensi calon presiden dari Partai Demokrat, Pramono Edhie Wibowo. Pantauan Okezone di lokasi, rumah yang didominasi cat putih itu, di depan pintu masuk terdapat standing banner Pramono Edhie Wibowo Media Center. Bendera partai Setgab yang berkibar di rumah itu juga telah dilepas dari tempatnya.",Bagus Santosa,Jum'at 27 September 2013 17:09 WIB,2013,JAKARTA ,"https://news.okezone.com/read/2013/09/27/567/873019/fahri-hamzah-kantor-setgab-dan-konvensi-karang-karangan-sby
",Okezone.com
Fahri Hamzah: SBY Sudah Mau Hancur,"Tim Pengawas (Timwas) kasus bail out Bank Century meminta Presiden Susilo Bambang Yudhoyono (SBY) bersikap terkait dengan dugaan keterlibatan Wakil Presiden Boediono dalam kasus Century. Menurut Anggota Timwas dari Fraksi Partai Keadilan Sejahtera (PKS), Fahri Hamzah, nama Boediono akan muncul dalam dakwaanm tersangka kasus Bank Century, Budi Mulya yang akan digelar Jumat 7 Maret besok. ""Jangan santai-santai, wakilnya (Boediono) sudah disebut di dakwaan. SBY mau hancur, kalau mau hancur sendiri saja, jangan bawa semuanya hancur,"" kata Fahri saat ditemui di Kantor LBH Jakarta, Rabu (5/3/2014). Menurut Fahri, sebaiknya SBY berhenti sejenak dalam kegiatan partai, untuk menyikapi kasus yang telah bertahun-tahun belum tuntas ini. Sebab jika tidak, SBY akan terkesan lepas tangan terhadap kasus ini. ""Saya cuma minta SBY jangan lepas tangan. Segera bikin sikap, negara dalam keadaan darurat. Setop kampanye, meskipun dia ketua umum partai,"" tegas Fahri. Seperti diketahui, Budi Mulya merupakan tersangka pertama yang berhasil diungkap oleh KPK. Sementara Timwas bersama dengan Tim 9 menemukan adanya rangkaian yang diduga melibatkan beberapa pihak lain. Salah satunya mengenai keterangan Wakil Presiden Boediono yang menyebut kalau bailout Bank Century merupakan tanggung jawab Presiden Susilo Bambang Yudhoyono (SBY) sebagaimana diatur dalam UU Lembaga Penjamin Simpanan (LPS). Kemudian, menyangkut surat Sri Mulyani selaku Menteri Keuangan yang disampaikan kepada SBY. Sementara, SBY mengaku tidak tahu menahu mengenai bailout tersebut.",Tegar Arief Fadly,Rabu 05 Maret 2014 16:14 WIB,2014,JAKARTA,"https://news.okezone.com/read/2014/03/05/339/950409/fahri-hamzah-sby-sudah-mau-hancur
",Okezone.com
Fahri Hamzah: KPK Mirip FBI!,"Antasari Azhar mengeluarkan pernyataan kontroversial. Mantan Ketua Komisi Pemberantasan Korupsi (KPK) ini mengisyaratkan bahwa KPK masih 'kotor'.  Dia menyebut adanya oknum yang berbuat tidak profesional. Pernyataan Antasari ini diamini oleh anggota Komisi Hukum DPR, Fahri Hamzah. Menurut Fahri apa yang dikatakan Antasari adalah fakta yang harus diungkapkan ke publik, agar masyarakat mengetahui bagaimana kondisi KPK saat ini. ""Itu (KPK) hukum besi. Kekuasaan yang extraordinary tanpa kontrol pasti korup dan kotor,"" kata Fahri saat dihubungi Okezone di Jakarta, Kamis (6/3/2014) malam. Bahkan, Fahri mengibaratkan KPK layaknya Federal Bureau of Investigation (FBI) di era kepemimpinan John Edgar Hoover. Dimana kala itu FBI menjadi lembaga yang memegang kekuasaan besar dan mampu mengintimidasi dan mengancam siapa pun. Seharusnya, kata Fahri, ada pembatasan keberadaan KPK. Sebab awalnya KPK diciptakan hanya sebagai lembaga Adhoc atau bersifat sementara. KPK dibentuk dengan alasan lembaga penegak hukum seperti Polri dan Kejaksaan dalam kondisi buruk. ""KPK itu mirip FBI zaman Edgar J. Hoover di Amerika Serikat. Ini adalah Undang-Undang darurat yang tidak dibatasi waktunya. Akhirnya orang menikmati kerja darurat, padahal daya rusaknya kemana-mana,"" kritiknya. Hoover adalah direktur FBI pertama. Ia menjadi direktur FBI sampai meninggal dunia pada 1962 di usia 77 tahun. Dia menjadi tokoh yang kontroversial seiring terungkapnya tindakan-tindakannya yang rahasia. Para pengkritiknya menyebut aksi Hoover sudah melanggar yurisdiksi FBI. Ia memanfaatkan FBI untuk membungkam para aktivis politik, memperoleh berkas rahasia seputar para pejabat tinggi dan mengumpulkan bukti menggunakan cara-cara ilegal. Karena itu Hoover memegang kekuasaan yang besar dan mampu mengintimidasi dan mengancam Presiden. Menurut banyak pihak, Hoover mengubah FBI menjadi pasukan polisi rahasianya sendiri. Bahkan kala itu FBI sudah berkutat dalam skandal kehidupan seks dan pemerasan mentah-mentah.",Tegar Arief Fadly,Jum'at 07 Maret 2014 06:10 WIB,2014,JAKARTA ,"https://news.okezone.com/read/2014/03/07/339/951244/fahri-hamzah-kpk-mirip-fbi
",Okezone.com
